"Date","Tmax","Tmin","Sun","Rain","TmaxAvg","RainyDays"
08/30/88,27.8,20,372,1,31.66,2
08/31/88,26.7,17.8,285,1,30.66,3
06/06/89,27.8,19.4,259,1,33.44,3
06/07/89,26.7,18.3,199,1,32,4
06/08/89,28.9,18.3,438,1,30.34,4
06/09/89,28.9,20.6,331,1,29.68,5
06/10/89,30,18.9,733,0,28.9,5
06/11/89,27.8,15,873,0,28.46,4
06/12/89,29.4,17.2,223,1,28.46,3
06/13/89,31.1,18.9,664,1,29,3
06/14/89,32.8,20,838,0,29.44,3
06/15/89,32.8,20.6,691,1,30.22,2
06/16/89,29.4,18.9,379,1,30.78,3
06/17/89,26.7,18.9,263,1,31.1,4
06/18/89,30,19.4,751,0,30.56,4
06/19/89,31.1,19.4,634,0,30.34,3
06/20/89,28.3,21.1,248,1,30,3
06/21/89,26.1,20.6,253,1,29.1,3
06/22/89,29.4,20,649,0,28.44,3
06/23/89,31.1,20,387,1,28.98,2
06/24/89,30.6,20,523,1,29.2,3
06/25/89,31.1,20,485,0,29.1,4
06/26/89,32.8,20.6,457,0,29.66,3
06/27/89,33.3,22.8,466,0,31,2
06/28/89,32.8,21.1,512,1,31.78,2
06/29/89,28.9,19.4,542,1,32.12,2
06/30/89,27.8,17.2,819,0,31.78,2
07/01/89,27.8,16.1,795,0,31.12,2
07/02/89,29.4,15.6,600,0,30.12,2
07/03/89,27.8,19.4,148,1,29.34,2
07/04/89,30,22.2,283,1,28.34,2
07/05/89,27.8,21.7,293,1,28.56,2
07/06/89,30.6,22.2,327,1,28.56,3
07/07/89,31.1,21.7,414,1,29.12,4
07/08/89,33.9,20.6,611,0,29.46,5
07/09/89,32.2,21.1,702,0,30.68,4
07/10/89,34.4,21.1,746,0,31.12,3
07/11/89,35.6,22.8,739,0,32.44,2
07/12/89,35,22.2,434,1,33.44,1
07/13/89,31.7,21.1,261,1,34.22,1
07/14/89,30,20.6,505,1,33.78,2
07/15/89,30.6,19.4,518,1,33.34,3
07/16/89,27.2,20.6,67,1,32.58,4
07/17/89,22.2,20,20,1,30.9,5
07/18/89,28.3,19.4,180,1,28.34,5
07/19/89,30.6,19.4,594,1,27.66,5
07/20/89,29.4,20.6,208,1,27.78,5
07/21/89,30,20,254,0,27.54,5
07/22/89,31.1,19.4,394,1,28.1,4
07/23/89,32.8,20,755,0,29.88,4
